gx,gy,gz
123,-844,1305
2869,-2551,9003
-3202,5188,-1531
5184,-7772,-1987
-1145,-472,-211
-3325,8477,3025
2000,-3726,-3173
2509,-3555,-3520
-4996,10475,4524
-960,4610,725
4871,-6299,-4936
-379,-2488,-5944
-9706,-4434,-17181
2844,-1644,-7838
6083,-3825,-4166
-172,-586,1969
-4779,4485,4747
-950,3494,2243
4435,-4050,-2697
4130,-3142,-3910
-6552,5711,2772
729,1232,27
4422,-4162,-2671
-7423,4546,5241
-2326,4788,3507
4122,-1937,-2071
6193,-5499,-3518
-2841,1960,-185
-4929,5942,4717
2334,-1572,165
37,-814,-1234
-387,2211,440
557,178,-867
718,-916,-271
-2926,2291,1345
1453,-1659,-1151
274,1835,262
892,-670,-971
159,332,302
-2383,99,414
4482,-3171,-798
14631,-9456,-2475
10509,-2397,-5017
-8516,2195,11236
-23021,-2102,19296
13330,7161,-19428
-5636,2843,5114
-8613,784,4364
-11852,7575,4632
-7858,14682,5703
-11724,8310,8800
-7942,1830,7678
3984,-2636,-5324
10589,-7742,-9437
5739,-3141,878
3157,-4553,-1578
4076,-4527,-2240
-100,-2438,2132
-6253,10996,3391
844,342,-1322
719,-2481,-13
-334,269,-293
-1138,1830,-743
-1102,-504,1702
-586,1555,-1468
922,1246,2489
-997,-1021,-1117
-910,3442,495
4008,-3926,-1022
-5499,5368,1486
1927,-2697,-656
-880,-3145,794
-3505,5467,1441
5527,-4564,-2391
-422,-145,-311
-3471,6273,1436
1649,-9151,158
-3830,9314,-27
-3522,4141,1556
4834,-8845,-1132
300,-3530,-1487
-4439,8901,778
4276,-3761,-230
1720,-5646,-570
-3395,12082,-1808
-1672,6145,2087
6915,-9819,-253
-1889,1882,-786
-4421,7637,115
3615,-2350,704
2518,-6306,-1089
-1813,9306,186
-554,3055,94
2937,-7416,-2023
-5006,4960,1446
262,-180,-1113
-2962,2477,875
726,-2675,-1407
-1997,2644,1252
979,-18,-829
957,1676,368
174,506,187
-17,385,-396
-340,1984,389
345,-2941,-497
419,1532,126
934,-826,-638
389,5796,-65
-745,-560,-1021
1671,-3304,953
2178,-108,50
971,2857,1625
1535,-1262,-733
-181,1295,700
1241,2471,542
-2002,-1352,430
-699,4191,159
2542,-1445,17
156,2640,1208
802,-578,-111
1715,2713,-2901
-1257,372,1365
1267,-71,-2302
162,3200,95
-3242,-254,-142
1069,-1687,-38
1974,2812,-719
227,-1145,-1846
729,2050,1286
